Period,Value
2004-07-01,3360
2004-08-01,3601
2004-09-01,3497
2004-10-01,4997
2004-11-01,4200
2004-12-01,4579
2005-01-01,4304
2005-02-01,5219
2005-03-01,6675
2005-04-01,4940
2005-05-01,4246
2005-06-01,5215
2005-07-01,3574
2005-08-01,4040
2005-09-01,3815
2005-10-01,4341
2005-11-01,5463
2005-12-01,4087
2006-01-01,4542
2006-02-01,5199
2006-03-01,6776
2006-04-01,5118
2006-05-01,6252
2006-06-01,4345
2006-07-01,4099
2006-08-01,5536
2006-09-01,4182
2006-10-01,4037
2006-11-01,4715
2006-12-01,4396
2007-01-01,4126
2007-02-01,5428
2007-03-01,6863
2007-04-01,5065
2007-05-01,4887
2007-06-01,5744
2007-07-01,4311
2007-08-01,5381
2007-09-01,4580
2007-10-01,4675
2007-11-01,5273
2007-12-01,4542
2008-01-01,4581
2008-02-01,6675
2008-03-01,5856
2008-04-01,5284
2008-05-01,6206
2008-06-01,4295
2008-07-01,4883
2008-08-01,4551
2008-09-01,4209
2008-10-01,5130
2008-11-01,4091
2008-12-01,4252
2009-01-01,4866
2009-02-01,4926
2009-03-01,5153
2009-04-01,5878
2009-05-01,4510
2009-06-01,4318
2009-07-01,4985
2009-08-01,4263
2009-09-01,5442
2009-10-01,4433
2009-11-01,4563
2009-12-01,5176
2010-01-01,5334
2010-02-01,5652
2010-03-01,5333
2010-04-01,6389
2010-05-01,5111
2010-06-01,4504
2010-07-01,5444
2010-08-01,4312
2010-09-01,5461
2010-10-01,4469
2010-11-01,4397
2010-12-01,4791
2011-01-01,5130
2011-02-01,5564
2011-03-01,5451
2011-04-01,6287
2011-05-01,4138
2011-06-01,4443
2011-07-01,5288
2011-08-01,4332
2011-09-01,5179
2011-10-01,4178
2011-11-01,4396
2011-12-01,4885
2012-01-01,4408
2012-02-01,5231
2012-03-01,7053
2012-04-01,5321
2012-05-01,4930
2012-06-01,5476
2012-07-01,4128
2012-08-01,5369
2012-09-01,4235
2012-10-01,4296
2012-11-01,4962
2012-12-01,5044
2013-01-01,7086
2013-02-01,5657
2013-03-01,5566
2013-04-01,5391
2013-05-01,5764
2013-06-01,4684
2013-07-01,5655
2013-08-01,4679
2013-09-01,4340
2013-10-01,6055
2013-11-01,4581
2013-12-01,4101
2014-01-01,6866
2014-02-01,5734
2014-03-01,6183
2014-04-01,5809
2014-05-01,6767
2014-06-01,5219
2014-07-01,6242
2014-08-01,5326
2014-09-01,5235
2014-10-01,6538
2014-11-01,4536
2014-12-01,4959
2015-01-01,6834
2015-02-01,6358
2015-03-01,6478
2015-04-01,7515
2015-05-01,5592
2015-06-01,5511
2015-07-01,6403
2015-08-01,5260
2015-09-01,6441
2015-10-01,5318
2015-11-01,4743
2015-12-01,5148
2016-01-01,6922
2016-02-01,6283
2016-03-01,8157
2016-04-01,6385
2016-05-01,6082
2016-06-01,6235
2016-07-01,5593
2016-08-01,7123
2016-09-01,5483
2016-10-01,5408
2016-11-01,6336
2016-12-01,4802
2017-01-01,7206
2017-02-01,6806
2017-03-01,8754
2017-04-01,6724
2017-05-01,7887
2017-06-01,6009
2017-07-01,5845
2017-08-01,7555
2017-09-01,5737
2017-10-01,5631
2017-11-01,7187
2017-12-01,4960
2018-01-01,8162
2018-02-01,7725
2018-03-01,9881
2018-04-01,7377
2018-05-01,8395
2018-06-01,6711
2018-07-01,6126
2018-08-01,8293
2018-09-01,6313
2018-10-01,6166
2018-11-01,7176
2018-12-01,5609
2019-01-01,9116
2019-02-01,7963
2019-03-01,7847
2019-04-01,7647
2019-05-01,8440
2019-06-01,6449
2019-07-01,5962
2019-08-01,7984
2019-09-01,6309
2019-10-01,7653
2019-11-01,5601
2019-12-01,5508
2020-01-01,9263
2020-02-01,7485
2020-03-01,6439
2020-04-01,7121
2020-05-01,6453
2020-06-01,7358
2020-07-01,10221
2020-08-01,8437
2020-09-01,9736
2020-10-01,7233
2020-11-01,6890
2020-12-01,6921
2021-01-01,10835
2021-02-01,9486
2021-03-01,12176
2021-04-01,9619
2021-05-01,8997
2021-06-01,10015
2021-07-01,7969
2021-08-01,8491
2021-09-01,9931
2021-10-01,7762
2021-11-01,7515
2021-12-01,8427
2022-01-01,10777
2022-02-01,10090
2022-03-01,12663
2022-04-01,9904
2022-05-01,8525
2022-06-01,9610
2022-07-01,8410
2022-08-01,11240
2022-09-01,8571
2022-10-01,8976
2022-11-01,10077
2022-12-01,7231
2023-01-01,10781
2023-02-01,10901
2023-03-01,14115
2023-04-01,11126
2023-05-01,12932
2023-06-01,9986
2023-07-01,9501
2023-08-01,13309
2023-09-01,10289
2023-10-01,9513
2023-11-01,11146
2023-12-01,15560
2024-01-01,14742
2024-02-01,10817
2024-03-01,11211
2024-04-01,11182
2024-05-01,12291
2024-06-01,9908
2024-07-01,10959
2024-08-01,9476
2024-09-01,9475
2024-10-01,11599
2024-11-01,9178
